"","female","married","edu_high","inc_high","professional","attend_service","perceived_diversity","worried_corona","foreign_born","econ_bad","imm_contact","rally","age"
"372",0,1,1,0,0,5,61,3,0,3,0.6,63.6363636363636,30
"373",1,1,0,0,0,2,38,4,0,2,0,45.4545454545455,47
"374",1,1,1,1,0,2,7,4,0,2,0.2,45.4545454545455,42
"375",1,0,1,0,1,1,16,3,0,1,0.2,0,43
"376",0,1,1,1,0,2,10,3,0,3,0.4,45.4545454545455,73
"377",1,0,0,0,0,2,42,3,0,2,0.8,NA,32
"378",1,0,0,1,0,3,10,3,0,2,0.4,0,33
"379",0,0,1,1,1,1,96,1,0,1,0.2,0,47
"380",0,1,0,0,0,1,16,3,0,3,0.4,45.4545454545455,56
"381",0,1,1,0,0,2,20,3,0,2,0.8,63.6363636363636,65
"382",0,0,1,1,0,1,45,3,0,1,0.4,54.5454545454545,32
"383",0,0,1,0,0,1,25,2,0,2,0,63.6363636363636,48
"384",1,1,1,1,1,1,40,4,1,2,1,45.4545454545455,37
"385",1,1,1,0,0,3,12,2,0,2,0.6,27.2727272727273,56
"386",1,1,1,1,0,4,87,3,0,NA,0.8,72.7272727272727,35
"387",0,0,1,0,0,2,36,3,1,2,0.4,18.1818181818182,74
"388",1,0,1,0,0,1,NA,3,0,3,0,18.1818181818182,46
"389",1,0,1,0,0,1,15,2,0,1,0.6,0,40
"390",0,1,1,0,0,1,20,3,0,1,0.8,72.7272727272727,44
"391",0,0,1,0,0,1,9,3,0,3,0.2,0,39
"392",1,0,1,0,0,2,11,3,0,2,0.6,0,70
"393",1,1,1,0,1,2,5,2,0,3,0.2,9.09090909090909,45
"394",1,1,1,1,0,3,35,3,0,3,0,27.2727272727273,79
"395",1,1,0,0,0,1,NA,3,0,3,0,45.4545454545455,40
"396",1,1,0,0,0,2,31,3,0,3,0,45.4545454545455,64
